,date,unit_sales,national_holiday,day_type,day_category
253,2013-09-12,621.0,no,weekday,weekday
254,2013-09-13,323.0,no,weekday,weekday
255,2013-09-14,632.0,no,weekend,weekend
256,2013-09-15,710.0,no,weekend,weekend
257,2013-09-16,524.0,no,weekday,weekday
258,2013-09-17,314.0,no,weekday,weekday
259,2013-09-18,414.0,no,weekday,weekday
260,2013-09-19,372.0,no,weekday,weekday
261,2013-09-20,346.0,no,weekday,weekday
262,2013-09-21,726.0,no,weekend,weekend
263,2013-09-22,866.0,no,weekend,weekend
264,2013-09-23,516.0,no,weekday,weekday
265,2013-09-24,306.0,no,weekday,weekday
266,2013-09-25,486.0,no,weekday,weekday
267,2013-09-26,428.0,no,weekday,weekday
268,2013-09-27,370.0,no,weekday,weekday
269,2013-09-28,609.0,no,weekend,weekend
270,2013-09-29,764.0,no,weekend,weekend
271,2013-09-30,416.0,no,weekday,weekday
272,2013-10-01,336.0,no,weekday,weekday
273,2013-10-02,407.0,no,weekday,weekday
274,2013-10-03,303.0,no,weekday,weekday
275,2013-10-04,550.0,no,weekday,weekday
276,2013-10-05,678.0,no,weekend,weekend
277,2013-10-06,719.0,no,weekend,weekend
278,2013-10-07,515.0,no,weekday,weekday
279,2013-10-08,346.0,no,weekday,weekday
280,2013-10-09,601.0,yes!,weekday,holiday (weekday)
281,2013-10-10,277.0,no,weekday,weekday
282,2013-10-11,221.0,yes!,weekday,holiday (weekday)
283,2013-10-12,558.0,no,weekend,weekend
284,2013-10-13,485.0,no,weekend,weekend
285,2013-10-14,276.0,no,weekday,weekday
286,2013-10-15,345.0,no,weekday,weekday
287,2013-10-16,396.0,no,weekday,weekday
288,2013-10-17,329.0,no,weekday,weekday
289,2013-10-18,427.0,no,weekday,weekday
290,2013-10-19,737.0,no,weekend,weekend
291,2013-10-20,904.0,no,weekend,weekend
292,2013-10-21,394.0,no,weekday,weekday
293,2013-10-22,351.0,no,weekday,weekday
294,2013-10-23,310.0,no,weekday,weekday
295,2013-10-24,384.0,no,weekday,weekday
296,2013-10-25,297.0,no,weekday,weekday
297,2013-10-26,531.0,no,weekend,weekend
298,2013-10-27,801.0,no,weekend,weekend
299,2013-10-28,297.0,no,weekday,weekday
300,2013-10-29,352.0,no,weekday,weekday
301,2013-10-30,497.0,no,weekday,weekday
302,2013-10-31,224.0,no,weekday,weekday
303,2013-11-01,375.0,no,weekday,weekday
304,2013-11-02,549.0,yes!,weekend,holiday (weekend)
305,2013-11-03,860.0,yes!,weekend,holiday (weekend)
306,2013-11-04,406.0,no,weekday,weekday
307,2013-11-05,475.0,no,weekday,weekday
308,2013-11-06,295.0,no,weekday,weekday
309,2013-11-07,389.0,no,weekday,weekday
310,2013-11-08,379.0,no,weekday,weekday
311,2013-11-09,644.0,no,weekend,weekend
312,2013-11-10,695.0,no,weekend,weekend
313,2013-11-11,612.0,no,weekday,weekday
314,2013-11-12,314.0,no,weekday,weekday
315,2013-11-13,343.0,no,weekday,weekday
316,2013-11-14,295.0,no,weekday,weekday
317,2013-11-15,400.0,no,weekday,weekday
318,2013-11-16,683.0,no,weekend,weekend
319,2013-11-17,921.0,no,weekend,weekend
320,2013-11-18,447.0,no,weekday,weekday
321,2013-11-19,401.0,no,weekday,weekday
322,2013-11-20,481.0,no,weekday,weekday
323,2013-11-21,199.0,no,weekday,weekday
324,2013-11-22,419.0,no,weekday,weekday
325,2013-11-23,519.0,no,weekend,weekend
326,2013-11-24,702.0,no,weekend,weekend
327,2013-11-25,282.0,no,weekday,weekday
328,2013-11-26,274.0,no,weekday,weekday
329,2013-11-27,474.0,no,weekday,weekday
330,2013-11-28,258.0,no,weekday,weekday
331,2013-11-29,363.0,no,weekday,weekday
332,2013-11-30,726.0,no,weekend,weekend
333,2013-12-01,736.0,no,weekend,weekend
334,2013-12-02,421.0,no,weekday,weekday
335,2013-12-03,493.0,no,weekday,weekday
336,2013-12-04,454.0,no,weekday,weekday
337,2013-12-05,265.0,no,weekday,weekday
338,2013-12-06,388.0,no,weekday,weekday
339,2013-12-07,504.0,no,weekend,weekend
340,2013-12-08,477.0,no,weekend,weekend
341,2013-12-09,378.0,no,weekday,weekday
342,2013-12-10,330.0,no,weekday,weekday
343,2013-12-11,508.0,no,weekday,weekday
344,2013-12-12,502.0,no,weekday,weekday
345,2013-12-13,367.0,no,weekday,weekday
346,2013-12-14,547.0,no,weekend,weekend
347,2013-12-15,621.0,no,weekend,weekend
348,2013-12-16,322.0,no,weekday,weekday
349,2013-12-17,496.0,no,weekday,weekday
350,2013-12-18,532.0,no,weekday,weekday
351,2013-12-19,455.0,no,weekday,weekday
352,2013-12-20,441.0,no,weekday,weekday
353,2013-12-21,630.0,yes!,weekend,holiday (weekend)
354,2013-12-22,985.0,yes!,weekend,holiday (weekend)
355,2013-12-23,523.0,yes!,weekday,holiday (weekday)
356,2013-12-24,365.0,yes!,weekday,holiday (weekday)
357,2013-12-25,365.0,yes!,weekday,holiday (weekday)
358,2013-12-26,418.0,yes!,weekday,holiday (weekday)
359,2013-12-27,419.0,no,weekday,weekday
360,2013-12-28,499.0,no,weekend,weekend
361,2013-12-29,552.0,no,weekend,weekend
362,2013-12-30,595.0,no,weekday,weekday
363,2013-12-31,436.0,yes!,weekday,holiday (weekday)
364,2014-01-01,436.0,yes!,weekday,holiday (weekday)
365,2014-01-02,589.0,no,weekday,weekday
366,2014-01-03,474.0,no,weekday,weekday
367,2014-01-04,767.0,no,weekend,weekend
368,2014-01-05,1203.0,no,weekend,weekend
369,2014-01-06,399.0,no,weekday,weekday
370,2014-01-07,498.0,no,weekday,weekday
371,2014-01-08,561.0,no,weekday,weekday
372,2014-01-09,239.0,no,weekday,weekday
373,2014-01-10,438.0,no,weekday,weekday
374,2014-01-11,619.0,no,weekend,weekend
375,2014-01-12,533.0,no,weekend,weekend
376,2014-01-13,443.0,no,weekday,weekday
377,2014-01-14,440.0,no,weekday,weekday
378,2014-01-15,360.0,no,weekday,weekday
379,2014-01-16,1168.0,no,weekday,weekday
380,2014-01-17,506.0,no,weekday,weekday
381,2014-01-18,720.0,no,weekend,weekend
382,2014-01-19,561.0,no,weekend,weekend
383,2014-01-20,391.0,no,weekday,weekday
384,2014-01-21,421.0,no,weekday,weekday
385,2014-01-22,519.0,no,weekday,weekday
386,2014-01-23,231.0,no,weekday,weekday
387,2014-01-24,263.0,no,weekday,weekday
388,2014-01-25,789.0,no,weekend,weekend
389,2014-01-26,698.0,no,weekend,weekend
390,2014-01-27,310.0,no,weekday,weekday
391,2014-01-28,332.0,no,weekday,weekday
392,2014-01-29,405.0,no,weekday,weekday
393,2014-01-30,323.0,no,weekday,weekday
394,2014-01-31,456.0,no,weekday,weekday
395,2014-02-01,732.0,no,weekend,weekend
396,2014-02-02,704.0,no,weekend,weekend
397,2014-02-03,395.0,no,weekday,weekday
398,2014-02-04,313.0,no,weekday,weekday
399,2014-02-05,463.0,no,weekday,weekday
400,2014-02-06,301.0,no,weekday,weekday
401,2014-02-07,289.0,no,weekday,weekday
402,2014-02-08,678.0,no,weekend,weekend
403,2014-02-09,731.0,no,weekend,weekend
404,2014-02-10,370.0,no,weekday,weekday
405,2014-02-11,440.0,no,weekday,weekday
406,2014-02-12,409.0,no,weekday,weekday
407,2014-02-13,310.0,no,weekday,weekday
408,2014-02-14,258.0,no,weekday,weekday
409,2014-02-15,650.0,no,weekend,weekend
410,2014-02-16,583.0,no,weekend,weekend
411,2014-02-17,506.0,no,weekday,weekday
412,2014-02-18,506.0,no,weekday,weekday
413,2014-02-19,392.0,no,weekday,weekday
414,2014-02-20,296.0,no,weekday,weekday
415,2014-02-21,393.0,no,weekday,weekday
416,2014-02-22,809.0,no,weekend,weekend
417,2014-02-23,714.0,no,weekend,weekend
418,2014-02-24,338.0,no,weekday,weekday
419,2014-02-25,453.0,no,weekday,weekday
420,2014-02-26,388.0,no,weekday,weekday
421,2014-02-27,587.0,no,weekday,weekday
422,2014-02-28,346.0,no,weekday,weekday
423,2014-03-01,714.0,no,weekend,weekend
424,2014-03-02,410.0,no,weekend,weekend
425,2014-03-03,408.0,yes!,weekday,holiday (weekday)
426,2014-03-04,648.0,yes!,weekday,holiday (weekday)
427,2014-03-05,367.0,no,weekday,weekday
428,2014-03-06,492.0,no,weekday,weekday
429,2014-03-07,410.0,no,weekday,weekday
430,2014-03-08,572.0,no,weekend,weekend
431,2014-03-09,731.0,no,weekend,weekend
432,2014-03-10,437.0,no,weekday,weekday
433,2014-03-11,509.0,no,weekday,weekday
434,2014-03-12,317.0,no,weekday,weekday
435,2014-03-13,254.0,no,weekday,weekday
436,2014-03-14,243.0,no,weekday,weekday
437,2014-03-15,535.0,no,weekend,weekend
438,2014-03-16,726.0,no,weekend,weekend
439,2014-03-17,285.0,no,weekday,weekday
440,2014-03-18,353.0,no,weekday,weekday
441,2014-03-19,346.0,no,weekday,weekday
442,2014-03-20,139.0,no,weekday,weekday
443,2014-03-21,456.0,no,weekday,weekday
444,2014-03-22,567.0,no,weekend,weekend
445,2014-03-23,603.0,no,weekend,weekend
446,2014-03-24,371.0,no,weekday,weekday
447,2014-03-25,392.0,no,weekday,weekday
448,2014-03-26,432.0,no,weekday,weekday
449,2014-03-27,328.0,no,weekday,weekday
450,2014-03-28,523.0,no,weekday,weekday
451,2014-03-29,647.0,no,weekend,weekend
452,2014-03-30,599.0,no,weekend,weekend
453,2014-03-31,415.0,no,weekday,weekday
